threshold,id,timepoint,ear,frequency,status,status_message,pth
77.48,101,1,right,22627,Success,sigmoid,C:\Data\ABRpresto data\Mouse101_timepoint1_right abr_io_ABRpresto_fit 22627.png
90.13,101,1,right,32000,Success,sigmoid,C:\Data\ABRpresto data\Mouse101_timepoint1_right abr_io_ABRpresto_fit 32000.png
54.26,101,1,right,4000,Success,sigmoid,C:\Data\ABRpresto data\Mouse101_timepoint1_right abr_io_ABRpresto_fit 4000.png
88.33,101,1,right,45254,Success,sigmoid,C:\Data\ABRpresto data\Mouse101_timepoint1_right abr_io_ABRpresto_fit 45254.png
62.31,101,1,right,5656,Success,sigmoid,C:\Data\ABRpresto data\Mouse101_timepoint1_right abr_io_ABRpresto_fit 5656.png
59.95,101,1,right,8000,Success,sigmoid,C:\Data\ABRpresto data\Mouse101_timepoint1_right abr_io_ABRpresto_fit 8000.png
92.41,101,2,left,11313,Success,sigmoid,C:\Data\ABRpresto data\Mouse101_timepoint2_left abr_io_ABRpresto_fit 11313.png
89.21,101,2,left,16000,Success,sigmoid,C:\Data\ABRpresto data\Mouse101_timepoint2_left abr_io_ABRpresto_fit 16000.png
100.75,101,2,left,22627,Success,sigmoid,C:\Data\ABRpresto data\Mouse101_timepoint2_left abr_io_ABRpresto_fit 22627.png
inf,101,2,left,32000,Success,"all below criterion, threshold is inf",C:\Data\ABRpresto data\Mouse101_timepoint2_left abr_io_ABRpresto_fit 32000.png
76.19,101,2,left,4000,Success,sigmoid,C:\Data\ABRpresto data\Mouse101_timepoint2_left abr_io_ABRpresto_fit 4000.png
98.19,101,2,left,45254,Success,power law (noisy),C:\Data\ABRpresto data\Mouse101_timepoint2_left abr_io_ABRpresto_fit 45254.png
84.01,101,2,left,5656,Success,sigmoid,C:\Data\ABRpresto data\Mouse101_timepoint2_left abr_io_ABRpresto_fit 5656.png
88.59,101,2,left,8000,Success,sigmoid,C:\Data\ABRpresto data\Mouse101_timepoint2_left abr_io_ABRpresto_fit 8000.png
78.39,101,2,right,11313,Success,sigmoid,C:\Data\ABRpresto data\Mouse101_timepoint2_right abr_io_ABRpresto_fit 11313.png
77.12,101,2,right,16000,Success,sigmoid,C:\Data\ABRpresto data\Mouse101_timepoint2_right abr_io_ABRpresto_fit 16000.png
95.94,101,2,right,22627,Success,sigmoid,C:\Data\ABRpresto data\Mouse101_timepoint2_right abr_io_ABRpresto_fit 22627.png
inf,101,2,right,32000,Success,"all below criterion, threshold is inf",C:\Data\ABRpresto data\Mouse101_timepoint2_right abr_io_ABRpresto_fit 32000.png
60.09,101,2,right,4000,Success,sigmoid,C:\Data\ABRpresto data\Mouse101_timepoint2_right abr_io_ABRpresto_fit 4000.png
inf,101,2,right,45254,Success,"all below criterion, threshold is inf",C:\Data\ABRpresto data\Mouse101_timepoint2_right abr_io_ABRpresto_fit 45254.png
57.66,101,2,right,5656,Success,sigmoid,C:\Data\ABRpresto data\Mouse101_timepoint2_right abr_io_ABRpresto_fit 5656.png
66.67,101,2,right,8000,Success,sigmoid,C:\Data\ABRpresto data\Mouse101_timepoint2_right abr_io_ABRpresto_fit 8000.png
69.58,101,3,left,11313,Success,sigmoid,C:\Data\ABRpresto data\Mouse101_timepoint3_left abr_io_ABRpresto_fit 11313.png
76.83,101,3,left,16000,Success,sigmoid,C:\Data\ABRpresto data\Mouse101_timepoint3_left abr_io_ABRpresto_fit 16000.png
79.74,101,3,left,22627,Success,sigmoid,C:\Data\ABRpresto data\Mouse101_timepoint3_left abr_io_ABRpresto_fit 22627.png
85.3,101,3,left,32000,Success,sigmoid,C:\Data\ABRpresto data\Mouse101_timepoint3_left abr_io_ABRpresto_fit 32000.png
45.18,101,3,left,4000,Success,sigmoid,C:\Data\ABRpresto data\Mouse101_timepoint3_left abr_io_ABRpresto_fit 4000.png
88.95,101,3,left,45254,Success,sigmoid,C:\Data\ABRpresto data\Mouse101_timepoint3_left abr_io_ABRpresto_fit 45254.png
40.33,101,3,left,5656,Success,sigmoid,C:\Data\ABRpresto data\Mouse101_timepoint3_left abr_io_ABRpresto_fit 5656.png
47.08,101,3,left,8000,Success,sigmoid,C:\Data\ABRpresto data\Mouse101_timepoint3_left abr_io_ABRpresto_fit 8000.png
67.44,101,3,right,11313,Success,sigmoid,C:\Data\ABRpresto data\Mouse101_timepoint3_right abr_io_ABRpresto_fit 11313.png
61.24,101,3,right,16000,Success,sigmoid,C:\Data\ABRpresto data\Mouse101_timepoint3_right abr_io_ABRpresto_fit 16000.png
73.61,101,3,right,22627,Success,sigmoid,C:\Data\ABRpresto data\Mouse101_timepoint3_right abr_io_ABRpresto_fit 22627.png
86.46,101,3,right,32000,Success,sigmoid,C:\Data\ABRpresto data\Mouse101_timepoint3_right abr_io_ABRpresto_fit 32000.png
60.44,101,3,right,4000,Success,sigmoid,C:\Data\ABRpresto data\Mouse101_timepoint3_right abr_io_ABRpresto_fit 4000.png
76.36,101,3,right,45254,Success,sigmoid,C:\Data\ABRpresto data\Mouse101_timepoint3_right abr_io_ABRpresto_fit 45254.png
60.96,101,3,right,5656,Success,sigmoid,C:\Data\ABRpresto data\Mouse101_timepoint3_right abr_io_ABRpresto_fit 5656.png
58.53,101,3,right,8000,Success,sigmoid,C:\Data\ABRpresto data\Mouse101_timepoint3_right abr_io_ABRpresto_fit 8000.png
26.06,102,0,left,11313,Success,sigmoid,C:\Data\ABRpresto data\Mouse102_timepoint0_left abr_io_ABRpresto_fit 11313.png
24.99,102,0,left,16000,Success,sigmoid,C:\Data\ABRpresto data\Mouse102_timepoint0_left abr_io_ABRpresto_fit 16000.png
30.56,102,0,left,22627,Success,sigmoid,C:\Data\ABRpresto data\Mouse102_timepoint0_left abr_io_ABRpresto_fit 22627.png
34.42,102,0,left,32000,Success,sigmoid,C:\Data\ABRpresto data\Mouse102_timepoint0_left abr_io_ABRpresto_fit 32000.png
56.09,102,0,left,4000,Success,sigmoid,C:\Data\ABRpresto data\Mouse102_timepoint0_left abr_io_ABRpresto_fit 4000.png
47.15,102,0,left,45254,Success,sigmoid,C:\Data\ABRpresto data\Mouse102_timepoint0_left abr_io_ABRpresto_fit 45254.png
39.91,102,0,left,5656,Success,sigmoid,C:\Data\ABRpresto data\Mouse102_timepoint0_left abr_io_ABRpresto_fit 5656.png
31.6,102,0,left,8000,Success,sigmoid,C:\Data\ABRpresto data\Mouse102_timepoint0_left abr_io_ABRpresto_fit 8000.png
33.02,103,0,left,11313,Success,sigmoid,C:\Data\ABRpresto data\Mouse103_timepoint0_left abr_io_ABRpresto_fit 11313.png
31.84,103,0,left,16000,Success,sigmoid,C:\Data\ABRpresto data\Mouse103_timepoint0_left abr_io_ABRpresto_fit 16000.png
29.32,103,0,left,22627,Success,sigmoid,C:\Data\ABRpresto data\Mouse103_timepoint0_left abr_io_ABRpresto_fit 22627.png
43.09,103,0,left,32000,Success,sigmoid,C:\Data\ABRpresto data\Mouse103_timepoint0_left abr_io_ABRpresto_fit 32000.png
