threshold,id,timepoint,ear,frequency,status,status_message,pth
43.95,135,4,left,16000,Success,sigmoid,C:\Data\ABRpresto data\Mouse135_timepoint4_left abr_io_ABRpresto_fit 16000.png
51.31,135,4,left,22627,Success,sigmoid,C:\Data\ABRpresto data\Mouse135_timepoint4_left abr_io_ABRpresto_fit 22627.png
51.79,135,4,left,32000,Success,sigmoid,C:\Data\ABRpresto data\Mouse135_timepoint4_left abr_io_ABRpresto_fit 32000.png
75.52,135,4,left,4000,Success,sigmoid,C:\Data\ABRpresto data\Mouse135_timepoint4_left abr_io_ABRpresto_fit 4000.png
53.88,135,4,left,5656,Success,sigmoid,C:\Data\ABRpresto data\Mouse135_timepoint4_left abr_io_ABRpresto_fit 5656.png
51.4,135,4,left,8000,Success,sigmoid,C:\Data\ABRpresto data\Mouse135_timepoint4_left abr_io_ABRpresto_fit 8000.png
59.41,135,4,right,11313,Success,sigmoid,C:\Data\ABRpresto data\Mouse135_timepoint4_right abr_io_ABRpresto_fit 11313.png
68.36,135,4,right,16000,Success,sigmoid,C:\Data\ABRpresto data\Mouse135_timepoint4_right abr_io_ABRpresto_fit 16000.png
78.15,135,4,right,22627,Success,sigmoid,C:\Data\ABRpresto data\Mouse135_timepoint4_right abr_io_ABRpresto_fit 22627.png
86.78,135,4,right,32000,Success,sigmoid,C:\Data\ABRpresto data\Mouse135_timepoint4_right abr_io_ABRpresto_fit 32000.png
97.26,135,4,right,4000,Success,sigmoid,C:\Data\ABRpresto data\Mouse135_timepoint4_right abr_io_ABRpresto_fit 4000.png
79.47,135,4,right,5656,Success,sigmoid,C:\Data\ABRpresto data\Mouse135_timepoint4_right abr_io_ABRpresto_fit 5656.png
80.79,135,4,right,8000,Success,sigmoid,C:\Data\ABRpresto data\Mouse135_timepoint4_right abr_io_ABRpresto_fit 8000.png
33.14,135,5,left,11313,Success,sigmoid,C:\Data\ABRpresto data\Mouse135_timepoint5_left abr_io_ABRpresto_fit 11313.png
37.35,135,5,left,16000,Success,sigmoid,C:\Data\ABRpresto data\Mouse135_timepoint5_left abr_io_ABRpresto_fit 16000.png
41.9,135,5,left,22627,Success,sigmoid,C:\Data\ABRpresto data\Mouse135_timepoint5_left abr_io_ABRpresto_fit 22627.png
49.35,135,5,left,32000,Success,sigmoid,C:\Data\ABRpresto data\Mouse135_timepoint5_left abr_io_ABRpresto_fit 32000.png
74.49,135,5,left,4000,Success,sigmoid,C:\Data\ABRpresto data\Mouse135_timepoint5_left abr_io_ABRpresto_fit 4000.png
55.67,135,5,left,5656,Success,sigmoid,C:\Data\ABRpresto data\Mouse135_timepoint5_left abr_io_ABRpresto_fit 5656.png
48.88,135,5,left,8000,Success,sigmoid,C:\Data\ABRpresto data\Mouse135_timepoint5_left abr_io_ABRpresto_fit 8000.png
49.6,135,5,right,11313,Success,sigmoid,C:\Data\ABRpresto data\Mouse135_timepoint5_right abr_io_ABRpresto_fit 11313.png
52.46,135,5,right,16000,Success,sigmoid,C:\Data\ABRpresto data\Mouse135_timepoint5_right abr_io_ABRpresto_fit 16000.png
62.98,135,5,right,22627,Success,sigmoid,C:\Data\ABRpresto data\Mouse135_timepoint5_right abr_io_ABRpresto_fit 22627.png
72.5,135,5,right,32000,Success,sigmoid,C:\Data\ABRpresto data\Mouse135_timepoint5_right abr_io_ABRpresto_fit 32000.png
86.89,135,5,right,4000,Success,sigmoid,C:\Data\ABRpresto data\Mouse135_timepoint5_right abr_io_ABRpresto_fit 4000.png
66.07,135,5,right,5656,Success,sigmoid,C:\Data\ABRpresto data\Mouse135_timepoint5_right abr_io_ABRpresto_fit 5656.png
62.84,135,5,right,8000,Success,sigmoid,C:\Data\ABRpresto data\Mouse135_timepoint5_right abr_io_ABRpresto_fit 8000.png
54.89,135,6,right,11313,Success,sigmoid,C:\Data\ABRpresto data\Mouse135_timepoint6_right abr_io_ABRpresto_fit 11313.png
57.19,135,6,right,16000,Success,sigmoid,C:\Data\ABRpresto data\Mouse135_timepoint6_right abr_io_ABRpresto_fit 16000.png
61.14,135,6,right,22627,Success,sigmoid,C:\Data\ABRpresto data\Mouse135_timepoint6_right abr_io_ABRpresto_fit 22627.png
79.67,135,6,right,32000,Success,sigmoid,C:\Data\ABRpresto data\Mouse135_timepoint6_right abr_io_ABRpresto_fit 32000.png
91.62,135,6,right,4000,Success,sigmoid,C:\Data\ABRpresto data\Mouse135_timepoint6_right abr_io_ABRpresto_fit 4000.png
78.1,135,6,right,5656,Success,sigmoid,C:\Data\ABRpresto data\Mouse135_timepoint6_right abr_io_ABRpresto_fit 5656.png
70.86,135,6,right,8000,Success,sigmoid,C:\Data\ABRpresto data\Mouse135_timepoint6_right abr_io_ABRpresto_fit 8000.png
58.09,136,0,left,16000,Success,sigmoid,C:\Data\ABRpresto data\Mouse136_timepoint0_left abr_io_ABRpresto_fit 16000.png
40.1,136,0,left,32000,Success,sigmoid,C:\Data\ABRpresto data\Mouse136_timepoint0_left abr_io_ABRpresto_fit 32000.png
61.93,136,0,left,8000,Success,sigmoid,C:\Data\ABRpresto data\Mouse136_timepoint0_left abr_io_ABRpresto_fit 8000.png
25.02,137,0,left,11313,Success,sigmoid,C:\Data\ABRpresto data\Mouse137_timepoint0_left abr_io_ABRpresto_fit 11313.png
27.06,137,0,left,16000,Success,sigmoid,C:\Data\ABRpresto data\Mouse137_timepoint0_left abr_io_ABRpresto_fit 16000.png
34.06,137,0,left,22627,Success,sigmoid,C:\Data\ABRpresto data\Mouse137_timepoint0_left abr_io_ABRpresto_fit 22627.png
52.87,137,0,left,32000,Success,sigmoid,C:\Data\ABRpresto data\Mouse137_timepoint0_left abr_io_ABRpresto_fit 32000.png
35.36,137,0,left,4000,Success,sigmoid,C:\Data\ABRpresto data\Mouse137_timepoint0_left abr_io_ABRpresto_fit 4000.png
24.31,137,0,left,45254,Success,sigmoid,C:\Data\ABRpresto data\Mouse137_timepoint0_left abr_io_ABRpresto_fit 45254.png
33.31,137,0,left,5656,Success,sigmoid,C:\Data\ABRpresto data\Mouse137_timepoint0_left abr_io_ABRpresto_fit 5656.png
25.88,137,0,left,8000,Success,sigmoid,C:\Data\ABRpresto data\Mouse137_timepoint0_left abr_io_ABRpresto_fit 8000.png
26.76,137,0,right,11313,Success,sigmoid,C:\Data\ABRpresto data\Mouse137_timepoint0_right abr_io_ABRpresto_fit 11313.png
31.64,137,0,right,16000,Success,sigmoid,C:\Data\ABRpresto data\Mouse137_timepoint0_right abr_io_ABRpresto_fit 16000.png
36.06,137,0,right,22627,Success,sigmoid,C:\Data\ABRpresto data\Mouse137_timepoint0_right abr_io_ABRpresto_fit 22627.png
44.94,137,0,right,32000,Success,sigmoid,C:\Data\ABRpresto data\Mouse137_timepoint0_right abr_io_ABRpresto_fit 32000.png
38.92,137,0,right,4000,Success,sigmoid,C:\Data\ABRpresto data\Mouse137_timepoint0_right abr_io_ABRpresto_fit 4000.png
35.52,137,0,right,45254,Success,sigmoid,C:\Data\ABRpresto data\Mouse137_timepoint0_right abr_io_ABRpresto_fit 45254.png
38.59,137,0,right,5656,Success,sigmoid,C:\Data\ABRpresto data\Mouse137_timepoint0_right abr_io_ABRpresto_fit 5656.png
30.8,137,0,right,8000,Success,sigmoid,C:\Data\ABRpresto data\Mouse137_timepoint0_right abr_io_ABRpresto_fit 8000.png
inf,138,0,left,11313,Success,"all below criterion, threshold is inf",C:\Data\ABRpresto data\Mouse138_timepoint0_left abr_io_ABRpresto_fit 11313.png
inf,138,0,left,16000,Success,"all below criterion, threshold is inf",C:\Data\ABRpresto data\Mouse138_timepoint0_left abr_io_ABRpresto_fit 16000.png
inf,138,0,left,22627,Success,"all below criterion, threshold is inf",C:\Data\ABRpresto data\Mouse138_timepoint0_left abr_io_ABRpresto_fit 22627.png
inf,138,0,left,32000,Success,"all below criterion, threshold is inf",C:\Data\ABRpresto data\Mouse138_timepoint0_left abr_io_ABRpresto_fit 32000.png
inf,138,0,left,4000,Success,"all below criterion, threshold is inf",C:\Data\ABRpresto data\Mouse138_timepoint0_left abr_io_ABRpresto_fit 4000.png
inf,138,0,left,5656,Success,"all below criterion, threshold is inf",C:\Data\ABRpresto data\Mouse138_timepoint0_left abr_io_ABRpresto_fit 5656.png
inf,138,0,left,8000,Success,"all below criterion, threshold is inf",C:\Data\ABRpresto data\Mouse138_timepoint0_left abr_io_ABRpresto_fit 8000.png
inf,138,0,right,11313,Success,"all below criterion, threshold is inf",C:\Data\ABRpresto data\Mouse138_timepoint0_right abr_io_ABRpresto_fit 11313.png
inf,138,0,right,16000,Success,"all below criterion, threshold is inf",C:\Data\ABRpresto data\Mouse138_timepoint0_right abr_io_ABRpresto_fit 16000.png
inf,138,0,right,22627,Success,"all below criterion, threshold is inf",C:\Data\ABRpresto data\Mouse138_timepoint0_right abr_io_ABRpresto_fit 22627.png
inf,138,0,right,32000,Success,"most below criterion, but couldn't fit, threshold is inf",C:\Data\ABRpresto data\Mouse138_timepoint0_right abr_io_ABRpresto_fit 32000.png
inf,138,0,right,4000,Success,"all below criterion, threshold is inf",C:\Data\ABRpresto data\Mouse138_timepoint0_right abr_io_ABRpresto_fit 4000.png
inf,138,0,right,5656,Success,"most below criterion, but couldn't fit, threshold is inf",C:\Data\ABRpresto data\Mouse138_timepoint0_right abr_io_ABRpresto_fit 5656.png
inf,138,0,right,8000,Success,"all below criterion, threshold is inf",C:\Data\ABRpresto data\Mouse138_timepoint0_right abr_io_ABRpresto_fit 8000.png
83.38,139,0,left,11313,Success,sigmoid,C:\Data\ABRpresto data\Mouse139_timepoint0_left abr_io_ABRpresto_fit 11313.png
79.46,139,0,left,16000,Success,sigmoid,C:\Data\ABRpresto data\Mouse139_timepoint0_left abr_io_ABRpresto_fit 16000.png
81.87,139,0,left,22627,Success,sigmoid,C:\Data\ABRpresto data\Mouse139_timepoint0_left abr_io_ABRpresto_fit 22627.png
81.87,139,0,left,32000,Success,sigmoid,C:\Data\ABRpresto data\Mouse139_timepoint0_left abr_io_ABRpresto_fit 32000.png
101.49,139,0,left,4000,Success,sigmoid,C:\Data\ABRpresto data\Mouse139_timepoint0_left abr_io_ABRpresto_fit 4000.png
94.58,139,0,left,5656,Success,sigmoid,C:\Data\ABRpresto data\Mouse139_timepoint0_left abr_io_ABRpresto_fit 5656.png
86.02,139,0,left,8000,Success,sigmoid,C:\Data\ABRpresto data\Mouse139_timepoint0_left abr_io_ABRpresto_fit 8000.png
85.72,139,1,left,11313,Success,sigmoid,C:\Data\ABRpresto data\Mouse139_timepoint1_left abr_io_ABRpresto_fit 11313.png
84.37,139,1,left,16000,Success,sigmoid,C:\Data\ABRpresto data\Mouse139_timepoint1_left abr_io_ABRpresto_fit 16000.png
80.99,139,1,left,22627,Success,sigmoid,C:\Data\ABRpresto data\Mouse139_timepoint1_left abr_io_ABRpresto_fit 22627.png
84.12,139,1,left,32000,Success,sigmoid,C:\Data\ABRpresto data\Mouse139_timepoint1_left abr_io_ABRpresto_fit 32000.png
104.14,139,1,left,4000,Success,sigmoid,C:\Data\ABRpresto data\Mouse139_timepoint1_left abr_io_ABRpresto_fit 4000.png
98.8,139,1,left,5656,Success,sigmoid,C:\Data\ABRpresto data\Mouse139_timepoint1_left abr_io_ABRpresto_fit 5656.png
89.59,139,1,left,8000,Success,sigmoid,C:\Data\ABRpresto data\Mouse139_timepoint1_left abr_io_ABRpresto_fit 8000.png
86.53,13,0,left,11313,Success,sigmoid,C:\Data\ABRpresto data\Mouse13_timepoint0_left abr_io_ABRpresto_fit 11313.png
85.25,13,0,left,16000,Success,sigmoid,C:\Data\ABRpresto data\Mouse13_timepoint0_left abr_io_ABRpresto_fit 16000.png
82.36,13,0,left,22627,Success,sigmoid,C:\Data\ABRpresto data\Mouse13_timepoint0_left abr_io_ABRpresto_fit 22627.png
89.68,13,0,left,32000,Success,sigmoid,C:\Data\ABRpresto data\Mouse13_timepoint0_left abr_io_ABRpresto_fit 32000.png
inf,13,0,left,4000,Success,"all below criterion, threshold is inf",C:\Data\ABRpresto data\Mouse13_timepoint0_left abr_io_ABRpresto_fit 4000.png
99.82,13,0,left,5656,Success,sigmoid,C:\Data\ABRpresto data\Mouse13_timepoint0_left abr_io_ABRpresto_fit 5656.png
91.97,13,0,left,8000,Success,sigmoid,C:\Data\ABRpresto data\Mouse13_timepoint0_left abr_io_ABRpresto_fit 8000.png
82.13,13,1,left,11313,Success,sigmoid,C:\Data\ABRpresto data\Mouse13_timepoint1_left abr_io_ABRpresto_fit 11313.png
86.29,13,1,left,16000,Success,sigmoid,C:\Data\ABRpresto data\Mouse13_timepoint1_left abr_io_ABRpresto_fit 16000.png
87.14,13,1,left,22627,Success,sigmoid,C:\Data\ABRpresto data\Mouse13_timepoint1_left abr_io_ABRpresto_fit 22627.png
91.61,13,1,left,32000,Success,sigmoid,C:\Data\ABRpresto data\Mouse13_timepoint1_left abr_io_ABRpresto_fit 32000.png
104.48,13,1,left,4000,Success,sigmoid,C:\Data\ABRpresto data\Mouse13_timepoint1_left abr_io_ABRpresto_fit 4000.png
99.83,13,1,left,5656,Success,sigmoid,C:\Data\ABRpresto data\Mouse13_timepoint1_left abr_io_ABRpresto_fit 5656.png
86.57,13,1,left,8000,Success,sigmoid,C:\Data\ABRpresto data\Mouse13_timepoint1_left abr_io_ABRpresto_fit 8000.png
20.6,140,0,left,11313,Success,sigmoid,C:\Data\ABRpresto data\Mouse140_timepoint0_left abr_io_ABRpresto_fit 11313.png
27.48,140,0,left,16000,Success,sigmoid,C:\Data\ABRpresto data\Mouse140_timepoint0_left abr_io_ABRpresto_fit 16000.png
29.09,140,0,left,22627,Success,sigmoid,C:\Data\ABRpresto data\Mouse140_timepoint0_left abr_io_ABRpresto_fit 22627.png
44.32,140,0,left,32000,Success,sigmoid,C:\Data\ABRpresto data\Mouse140_timepoint0_left abr_io_ABRpresto_fit 32000.png
42.08,140,0,left,4000,Success,sigmoid,C:\Data\ABRpresto data\Mouse140_timepoint0_left abr_io_ABRpresto_fit 4000.png
79.9,140,0,left,45254,Success,sigmoid,C:\Data\ABRpresto data\Mouse140_timepoint0_left abr_io_ABRpresto_fit 45254.png
29.75,140,0,left,5656,Success,sigmoid,C:\Data\ABRpresto data\Mouse140_timepoint0_left abr_io_ABRpresto_fit 5656.png
28.89,140,0,left,8000,Success,sigmoid,C:\Data\ABRpresto data\Mouse140_timepoint0_left abr_io_ABRpresto_fit 8000.png
23.91,140,1,left,11313,Success,sigmoid,C:\Data\ABRpresto data\Mouse140_timepoint1_left abr_io_ABRpresto_fit 11313.png
22.35,140,1,left,16000,Success,sigmoid,C:\Data\ABRpresto data\Mouse140_timepoint1_left abr_io_ABRpresto_fit 16000.png
28.17,140,1,left,22627,Success,sigmoid,C:\Data\ABRpresto data\Mouse140_timepoint1_left abr_io_ABRpresto_fit 22627.png
25.22,140,1,left,32000,Success,sigmoid,C:\Data\ABRpresto data\Mouse140_timepoint1_left abr_io_ABRpresto_fit 32000.png
40.54,140,1,left,4000,Success,sigmoid,C:\Data\ABRpresto data\Mouse140_timepoint1_left abr_io_ABRpresto_fit 4000.png
43.53,140,1,left,45254,Success,sigmoid,C:\Data\ABRpresto data\Mouse140_timepoint1_left abr_io_ABRpresto_fit 45254.png
32.5,140,1,left,5656,Success,sigmoid,C:\Data\ABRpresto data\Mouse140_timepoint1_left abr_io_ABRpresto_fit 5656.png
30.26,140,1,left,8000,Success,sigmoid,C:\Data\ABRpresto data\Mouse140_timepoint1_left abr_io_ABRpresto_fit 8000.png
91.09,141,0,left,11313,Success,sigmoid,C:\Data\ABRpresto data\Mouse141_timepoint0_left abr_io_ABRpresto_fit 11313.png
90.53,141,0,left,16000,Success,sigmoid,C:\Data\ABRpresto data\Mouse141_timepoint0_left abr_io_ABRpresto_fit 16000.png
89.67,141,0,left,22627,Success,sigmoid,C:\Data\ABRpresto data\Mouse141_timepoint0_left abr_io_ABRpresto_fit 22627.png
94.45,141,0,left,32000,Success,sigmoid,C:\Data\ABRpresto data\Mouse141_timepoint0_left abr_io_ABRpresto_fit 32000.png
inf,141,0,left,4000,Success,"all below criterion, threshold is inf",C:\Data\ABRpresto data\Mouse141_timepoint0_left abr_io_ABRpresto_fit 4000.png
104.78,141,0,left,5656,Success,sigmoid,C:\Data\ABRpresto data\Mouse141_timepoint0_left abr_io_ABRpresto_fit 5656.png
94.98,141,0,left,8000,Success,sigmoid,C:\Data\ABRpresto data\Mouse141_timepoint0_left abr_io_ABRpresto_fit 8000.png
92.74,141,0,right,11313,Success,sigmoid,C:\Data\ABRpresto data\Mouse141_timepoint0_right abr_io_ABRpresto_fit 11313.png
92.24,141,0,right,16000,Success,sigmoid,C:\Data\ABRpresto data\Mouse141_timepoint0_right abr_io_ABRpresto_fit 16000.png
89.62,141,0,right,22627,Success,sigmoid,C:\Data\ABRpresto data\Mouse141_timepoint0_right abr_io_ABRpresto_fit 22627.png
100.0,141,0,right,32000,Success,sigmoid,C:\Data\ABRpresto data\Mouse141_timepoint0_right abr_io_ABRpresto_fit 32000.png
inf,141,0,right,4000,Success,"all below criterion, threshold is inf",C:\Data\ABRpresto data\Mouse141_timepoint0_right abr_io_ABRpresto_fit 4000.png
100.74,141,0,right,5656,Success,sigmoid,C:\Data\ABRpresto data\Mouse141_timepoint0_right abr_io_ABRpresto_fit 5656.png
92.34,141,0,right,8000,Success,sigmoid,C:\Data\ABRpresto data\Mouse141_timepoint0_right abr_io_ABRpresto_fit 8000.png
94.18,141,1,left,11313,Success,sigmoid,C:\Data\ABRpresto data\Mouse141_timepoint1_left abr_io_ABRpresto_fit 11313.png
88.62,141,1,left,16000,Success,sigmoid,C:\Data\ABRpresto data\Mouse141_timepoint1_left abr_io_ABRpresto_fit 16000.png
84.42,141,1,left,22627,Success,sigmoid,C:\Data\ABRpresto data\Mouse141_timepoint1_left abr_io_ABRpresto_fit 22627.png
94.56,141,1,left,32000,Success,sigmoid,C:\Data\ABRpresto data\Mouse141_timepoint1_left abr_io_ABRpresto_fit 32000.png
100.34,141,1,left,4000,Success,sigmoid,C:\Data\ABRpresto data\Mouse141_timepoint1_left abr_io_ABRpresto_fit 4000.png
100.98,141,1,left,5656,Success,sigmoid,C:\Data\ABRpresto data\Mouse141_timepoint1_left abr_io_ABRpresto_fit 5656.png
94.28,141,1,left,8000,Success,sigmoid,C:\Data\ABRpresto data\Mouse141_timepoint1_left abr_io_ABRpresto_fit 8000.png
89.91,141,1,right,11313,Success,sigmoid,C:\Data\ABRpresto data\Mouse141_timepoint1_right abr_io_ABRpresto_fit 11313.png
99.15,141,1,right,16000,Success,sigmoid,C:\Data\ABRpresto data\Mouse141_timepoint1_right abr_io_ABRpresto_fit 16000.png
92.31,141,1,right,22627,Success,sigmoid,C:\Data\ABRpresto data\Mouse141_timepoint1_right abr_io_ABRpresto_fit 22627.png
100.5,141,1,right,32000,Success,sigmoid,C:\Data\ABRpresto data\Mouse141_timepoint1_right abr_io_ABRpresto_fit 32000.png
inf,141,1,right,4000,Success,"all below criterion, threshold is inf",C:\Data\ABRpresto data\Mouse141_timepoint1_right abr_io_ABRpresto_fit 4000.png
100.28,141,1,right,5656,Success,sigmoid,C:\Data\ABRpresto data\Mouse141_timepoint1_right abr_io_ABRpresto_fit 5656.png
90.64,141,1,right,8000,Success,sigmoid,C:\Data\ABRpresto data\Mouse141_timepoint1_right abr_io_ABRpresto_fit 8000.png
87.34,142,0,left,11313,Success,sigmoid,C:\Data\ABRpresto data\Mouse142_timepoint0_left abr_io_ABRpresto_fit 11313.png
83.8,142,0,left,16000,Success,sigmoid,C:\Data\ABRpresto data\Mouse142_timepoint0_left abr_io_ABRpresto_fit 16000.png
85.44,142,0,left,22627,Success,sigmoid,C:\Data\ABRpresto data\Mouse142_timepoint0_left abr_io_ABRpresto_fit 22627.png
82.88,142,0,left,32000,Success,sigmoid,C:\Data\ABRpresto data\Mouse142_timepoint0_left abr_io_ABRpresto_fit 32000.png
96.42,142,0,left,4000,Success,sigmoid,C:\Data\ABRpresto data\Mouse142_timepoint0_left abr_io_ABRpresto_fit 4000.png
102.55,142,0,left,5656,Success,sigmoid,C:\Data\ABRpresto data\Mouse142_timepoint0_left abr_io_ABRpresto_fit 5656.png
90.67,142,0,left,8000,Success,sigmoid,C:\Data\ABRpresto data\Mouse142_timepoint0_left abr_io_ABRpresto_fit 8000.png
91.6,142,1,left,11313,Success,sigmoid,C:\Data\ABRpresto data\Mouse142_timepoint1_left abr_io_ABRpresto_fit 11313.png
90.17,142,1,left,16000,Success,sigmoid,C:\Data\ABRpresto data\Mouse142_timepoint1_left abr_io_ABRpresto_fit 16000.png
89.81,142,1,left,22627,Success,sigmoid,C:\Data\ABRpresto data\Mouse142_timepoint1_left abr_io_ABRpresto_fit 22627.png
101.16,142,1,left,32000,Success,sigmoid,C:\Data\ABRpresto data\Mouse142_timepoint1_left abr_io_ABRpresto_fit 32000.png
inf,142,1,left,4000,Success,"all below criterion, threshold is inf",C:\Data\ABRpresto data\Mouse142_timepoint1_left abr_io_ABRpresto_fit 4000.png
inf,142,1,left,5656,Success,"most below criterion, but couldn't fit, threshold is inf",C:\Data\ABRpresto data\Mouse142_timepoint1_left abr_io_ABRpresto_fit 5656.png
101.56,142,1,left,8000,Success,power law,C:\Data\ABRpresto data\Mouse142_timepoint1_left abr_io_ABRpresto_fit 8000.png
44.19,143,0,left,11313,Success,sigmoid,C:\Data\ABRpresto data\Mouse143_timepoint0_left abr_io_ABRpresto_fit 11313.png
40.9,143,0,left,16000,Success,sigmoid,C:\Data\ABRpresto data\Mouse143_timepoint0_left abr_io_ABRpresto_fit 16000.png
41.68,143,0,left,22627,Success,sigmoid,C:\Data\ABRpresto data\Mouse143_timepoint0_left abr_io_ABRpresto_fit 22627.png
47.5,143,0,left,32000,Success,sigmoid,C:\Data\ABRpresto data\Mouse143_timepoint0_left abr_io_ABRpresto_fit 32000.png
55.42,143,0,left,4000,Success,sigmoid,C:\Data\ABRpresto data\Mouse143_timepoint0_left abr_io_ABRpresto_fit 4000.png
40.33,143,0,left,5656,Success,sigmoid,C:\Data\ABRpresto data\Mouse143_timepoint0_left abr_io_ABRpresto_fit 5656.png
45.91,143,0,left,8000,Success,sigmoid,C:\Data\ABRpresto data\Mouse143_timepoint0_left abr_io_ABRpresto_fit 8000.png
52.91,143,1,left,11313,Success,sigmoid,C:\Data\ABRpresto data\Mouse143_timepoint1_left abr_io_ABRpresto_fit 11313.png
53.16,143,1,left,16000,Success,sigmoid,C:\Data\ABRpresto data\Mouse143_timepoint1_left abr_io_ABRpresto_fit 16000.png
53.17,143,1,left,22627,Success,sigmoid,C:\Data\ABRpresto data\Mouse143_timepoint1_left abr_io_ABRpresto_fit 22627.png
65.24,143,1,left,32000,Success,sigmoid,C:\Data\ABRpresto data\Mouse143_timepoint1_left abr_io_ABRpresto_fit 32000.png
61.92,143,1,left,4000,Success,power law (noisy),C:\Data\ABRpresto data\Mouse143_timepoint1_left abr_io_ABRpresto_fit 4000.png
54.19,143,1,left,5656,Success,sigmoid,C:\Data\ABRpresto data\Mouse143_timepoint1_left abr_io_ABRpresto_fit 5656.png
61.44,143,1,left,8000,Success,sigmoid,C:\Data\ABRpresto data\Mouse143_timepoint1_left abr_io_ABRpresto_fit 8000.png
23.25,143,2,left,11313,Success,sigmoid,C:\Data\ABRpresto data\Mouse143_timepoint2_left abr_io_ABRpresto_fit 11313.png
36.13,143,2,left,16000,Success,sigmoid,C:\Data\ABRpresto data\Mouse143_timepoint2_left abr_io_ABRpresto_fit 16000.png
38.91,143,2,left,22627,Success,sigmoid,C:\Data\ABRpresto data\Mouse143_timepoint2_left abr_io_ABRpresto_fit 22627.png
49.39,143,2,left,32000,Success,sigmoid,C:\Data\ABRpresto data\Mouse143_timepoint2_left abr_io_ABRpresto_fit 32000.png
50.96,143,2,left,4000,Success,sigmoid,C:\Data\ABRpresto data\Mouse143_timepoint2_left abr_io_ABRpresto_fit 4000.png
39.6,143,2,left,5656,Success,sigmoid,C:\Data\ABRpresto data\Mouse143_timepoint2_left abr_io_ABRpresto_fit 5656.png
39.72,143,2,left,8000,Success,sigmoid,C:\Data\ABRpresto data\Mouse143_timepoint2_left abr_io_ABRpresto_fit 8000.png
36.82,143,3,left,11313,Success,sigmoid,C:\Data\ABRpresto data\Mouse143_timepoint3_left abr_io_ABRpresto_fit 11313.png
42.17,143,3,left,16000,Success,sigmoid,C:\Data\ABRpresto data\Mouse143_timepoint3_left abr_io_ABRpresto_fit 16000.png
53.01,143,3,left,22627,Success,sigmoid,C:\Data\ABRpresto data\Mouse143_timepoint3_left abr_io_ABRpresto_fit 22627.png
55.77,143,3,left,32000,Success,sigmoid,C:\Data\ABRpresto data\Mouse143_timepoint3_left abr_io_ABRpresto_fit 32000.png
48.52,143,3,left,4000,Success,sigmoid,C:\Data\ABRpresto data\Mouse143_timepoint3_left abr_io_ABRpresto_fit 4000.png
38.88,143,3,left,5656,Success,sigmoid,C:\Data\ABRpresto data\Mouse143_timepoint3_left abr_io_ABRpresto_fit 5656.png
35.79,143,3,left,8000,Success,sigmoid,C:\Data\ABRpresto data\Mouse143_timepoint3_left abr_io_ABRpresto_fit 8000.png
24.92,144,0,left,11313,Success,sigmoid,C:\Data\ABRpresto data\Mouse144_timepoint0_left abr_io_ABRpresto_fit 11313.png
26.91,144,0,left,16000,Success,sigmoid,C:\Data\ABRpresto data\Mouse144_timepoint0_left abr_io_ABRpresto_fit 16000.png
22.66,144,0,left,22627,Success,sigmoid,C:\Data\ABRpresto data\Mouse144_timepoint0_left abr_io_ABRpresto_fit 22627.png
34.95,144,0,left,32000,Success,sigmoid,C:\Data\ABRpresto data\Mouse144_timepoint0_left abr_io_ABRpresto_fit 32000.png
51.14,144,0,left,4000,Success,sigmoid,C:\Data\ABRpresto data\Mouse144_timepoint0_left abr_io_ABRpresto_fit 4000.png
37.24,144,0,left,5656,Success,sigmoid,C:\Data\ABRpresto data\Mouse144_timepoint0_left abr_io_ABRpresto_fit 5656.png
33.26,144,0,left,8000,Success,sigmoid,C:\Data\ABRpresto data\Mouse144_timepoint0_left abr_io_ABRpresto_fit 8000.png
32.58,144,0,right,11313,Success,sigmoid,C:\Data\ABRpresto data\Mouse144_timepoint0_right abr_io_ABRpresto_fit 11313.png
34.07,144,0,right,16000,Success,sigmoid,C:\Data\ABRpresto data\Mouse144_timepoint0_right abr_io_ABRpresto_fit 16000.png
38.83,144,0,right,22627,Success,sigmoid,C:\Data\ABRpresto data\Mouse144_timepoint0_right abr_io_ABRpresto_fit 22627.png
44.88,144,0,right,32000,Success,sigmoid,C:\Data\ABRpresto data\Mouse144_timepoint0_right abr_io_ABRpresto_fit 32000.png
56.86,144,0,right,4000,Success,sigmoid,C:\Data\ABRpresto data\Mouse144_timepoint0_right abr_io_ABRpresto_fit 4000.png
40.94,144,0,right,5656,Success,sigmoid,C:\Data\ABRpresto data\Mouse144_timepoint0_right abr_io_ABRpresto_fit 5656.png
37.41,144,0,right,8000,Success,sigmoid,C:\Data\ABRpresto data\Mouse144_timepoint0_right abr_io_ABRpresto_fit 8000.png
26.86,145,0,left,11313,Success,sigmoid,C:\Data\ABRpresto data\Mouse145_timepoint0_left abr_io_ABRpresto_fit 11313.png
38.89,145,0,left,16000,Success,sigmoid,C:\Data\ABRpresto data\Mouse145_timepoint0_left abr_io_ABRpresto_fit 16000.png
37.92,145,0,left,22627,Success,sigmoid,C:\Data\ABRpresto data\Mouse145_timepoint0_left abr_io_ABRpresto_fit 22627.png
40.91,145,0,left,32000,Success,sigmoid,C:\Data\ABRpresto data\Mouse145_timepoint0_left abr_io_ABRpresto_fit 32000.png
43.35,145,0,left,4000,Success,sigmoid,C:\Data\ABRpresto data\Mouse145_timepoint0_left abr_io_ABRpresto_fit 4000.png
